id,name,img-player,position,team,img-team,league,img-league,nation,img-nation,strong-foot,skill-moves,weak-foot,birth-date,height,workrates,type-card,over,div,han,kic,ref,spe,pos
5,Aaron Chapman,https://futhead.cursecdn.com/static/img/22/players/215408.png,GK,Gillingham,https://futhead.cursecdn.com/static/img/22/clubs/1802.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,1,29/05/1990,203cm,Medium/Medium,Bronze,61,63,58,56,62,31,60
19,Aaron Ramsdale,https://futhead.cursecdn.com/static/img/22/players/233934.png,GK,Arsenal,https://futhead.cursecdn.com/static/img/22/clubs/1.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,14/05/1998,188cm,Medium/Medium,Silver,74,75,72,69,76,48,71
24,Aarón,https://futhead.cursecdn.com/static/img/22/players/220383.png,GK,Granada CF,https://futhead.cursecdn.com/static/img/22/clubs/110832.png,LaLiga Santander,https://futhead.cursecdn.com/static/img/22/leagues/53.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Right,1,3,27/09/1995,185cm,Medium/Medium,Silver,70,67,70,66,72,37,67
48,Abdul Manaf Nurudeen,https://futhead.cursecdn.com/static/img/22/players/239076.png,GK,KAS Eupen,https://futhead.cursecdn.com/static/img/22/clubs/2013.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Ghana,https://futhead.cursecdn.com/static/img/22/nations/117.png,Right,1,3,8/2/1999,190cm,Medium/Medium,Bronze,63,72,57,58,68,22,58
59,Abdullah Al Jadani,https://futhead.cursecdn.com/static/img/22/players/212038.png,GK,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,3,6/3/1991,180cm,Medium/Medium,Bronze,62,65,58,57,64,49,60
62,Abdullah Al Mayoof,https://futhead.cursecdn.com/static/img/22/players/210140.png,GK,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,3,23/01/1987,189cm,Medium/Medium,Silver,68,57,72,75,72,32,67
63,Abdullah Al Saleh,https://futhead.cursecdn.com/static/img/22/players/210791.png,GK,Ettifaq FC,https://futhead.cursecdn.com/static/img/22/clubs/112096.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,2,15/10/1989,179cm,Medium/Medium,Bronze,60,61,57,61,59,48,60
65,Abdullah Al Shammari,https://futhead.cursecdn.com/static/img/22/players/208932.png,GK,Abha Club,https://futhead.cursecdn.com/static/img/22/clubs/113058.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,3,24/11/1991,186cm,Medium/Medium,Bronze,55,56,52,52,55,45,53
70,Abdullah Yiğiter,https://futhead.cursecdn.com/static/img/22/players/237553.png,GK,Hatayspor,https://futhead.cursecdn.com/static/img/22/clubs/101028.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,1,2,20/02/2000,189cm,Medium/Medium,Bronze,61,63,59,62,64,20,58
76,Abdulsamed Damlu,https://futhead.cursecdn.com/static/img/22/players/239477.png,GK,Yeni Malatyaspor,https://futhead.cursecdn.com/static/img/22/clubs/113259.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,1,2,25/07/1999,191cm,Medium/Medium,Bronze,62,61,62,56,62,24,59
89,Abraham Rodriguez,https://futhead.cursecdn.com/static/img/22/players/256034.png,GK,Colorado Rapids,https://futhead.cursecdn.com/static/img/22/clubs/694.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Left,1,1,19/07/2002,175cm,Medium/Medium,Bronze,53,54,52,51,59,25,54
104,Adam Davies,https://futhead.cursecdn.com/static/img/22/players/200715.png,GK,Sheffield Utd,https://futhead.cursecdn.com/static/img/22/clubs/1794.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png,Right,1,3,17/07/1992,185cm,Medium/Medium,Silver,71,71,68,67,71,40,69
105,Adam Davies,https://futhead.cursecdn.com/static/img/22/players/200715.png,GK,Stoke City,https://futhead.cursecdn.com/static/img/22/clubs/1806.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png,Right,1,3,17/07/1992,185cm,Medium/Medium,Silver,71,71,68,67,71,40,69
