id,name,img-player,position,team,img-team,league,img-league,nation,img-nation,strong-foot,skill-moves,weak-foot,birth-date,height,workrates,type-card,over,pac,sho,pas,dri,def,phy
1,A Lan,https://futhead.cursecdn.com/static/img/22/players/188044.png,ST,Guangzhou FC,https://futhead.cursecdn.com/static/img/22/clubs/111839.png,Chinese Football Association Super League,https://futhead.cursecdn.com/static/img/22/leagues/2012.png,China PR,https://futhead.cursecdn.com/static/img/22/nations/155.png,Right,4,3,10/7/1989,178cm,High/Low,Gold,77,84,75,68,81,33,72
2,A.J. DeLaGarza,https://futhead.cursecdn.com/static/img/22/players/190883.png,RB,New England,https://futhead.cursecdn.com/static/img/22/clubs/691.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,Guam,https://futhead.cursecdn.com/static/img/22/nations/157.png,Right,2,3,4/11/1987,175cm,Medium/High,Silver,65,64,48,61,62,63,68
3,Aapo Halme,https://futhead.cursecdn.com/static/img/22/players/234290.png,CB,Barnsley,https://futhead.cursecdn.com/static/img/22/clubs/1932.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Finland,https://futhead.cursecdn.com/static/img/22/nations/17.png,Right,2,3,22/05/1998,196cm,Medium/Medium,Silver,65,47,21,45,55,63,71
4,Aaron Appindangoye,https://futhead.cursecdn.com/static/img/22/players/218353.png,CB,Sivasspor,https://futhead.cursecdn.com/static/img/22/clubs/101041.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Gabon,https://futhead.cursecdn.com/static/img/22/nations/115.png,Right,2,2,20/02/1992,184cm,Medium/Medium,Silver,69,60,45,55,53,71,76
6,Aaron Connolly,https://futhead.cursecdn.com/static/img/22/players/237286.png,ST,Brighton,https://futhead.cursecdn.com/static/img/22/clubs/1808.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,Republic of Ireland,https://futhead.cursecdn.com/static/img/22/nations/25.png,Right,2,3,28/01/2000,175cm,Medium/Low,Silver,70,75,70,50,71,20,64
7,Aaron Connolly,https://futhead.cursecdn.com/static/img/22/players/237286.png,ST,Middlesbrough,https://futhead.cursecdn.com/static/img/22/clubs/12.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Republic of Ireland,https://futhead.cursecdn.com/static/img/22/nations/25.png,Right,2,3,28/01/2000,175cm,Medium/Low,Silver,70,75,70,50,71,20,64
8,Aaron Cresswell,https://futhead.cursecdn.com/static/img/22/players/189615.png,LB,West Ham,https://futhead.cursecdn.com/static/img/22/clubs/19.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Left,3,3,15/12/1989,175cm,High/Medium,Gold,79,70,60,75,76,77,68
9,Aaron Herrera,https://futhead.cursecdn.com/static/img/22/players/242542.png,RB,Real Salt Lake,https://futhead.cursecdn.com/static/img/22/clubs/111065.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Right,2,3,6/6/1997,180cm,High/Medium,Silver,66,68,32,54,62,65,73
10,Aaron Hickey,https://futhead.cursecdn.com/static/img/22/players/248808.png,LB,Bologna,https://futhead.cursecdn.com/static/img/22/clubs/189.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Scotland,https://futhead.cursecdn.com/static/img/22/nations/42.png,Right,2,5,10/6/2002,175cm,High/High,Silver,69,69,50,65,67,66,56
11,Aaron Leya Iseka,https://futhead.cursecdn.com/static/img/22/players/223929.png,ST,Barnsley,https://futhead.cursecdn.com/static/img/22/clubs/1932.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Belgium,https://futhead.cursecdn.com/static/img/22/nations/7.png,Right,3,3,15/11/1997,183cm,Medium/Medium,Silver,70,82,71,60,69,27,71
12,Aaron Long,https://futhead.cursecdn.com/static/img/22/players/222123.png,CB,Red Bulls,https://futhead.cursecdn.com/static/img/22/clubs/689.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Right,2,3,12/10/1992,185cm,High/High,Gold,75,80,40,56,64,74,83
13,Aaron McEneff,https://futhead.cursecdn.com/static/img/22/players/225998.png,CM,Hearts,https://futhead.cursecdn.com/static/img/22/clubs/80.png,cinch Premiership,https://futhead.cursecdn.com/static/img/22/leagues/50.png,Republic of Ireland,https://futhead.cursecdn.com/static/img/22/nations/25.png,Right,2,3,9/7/1995,175cm,High/High,Silver,65,70,63,64,67,60,67
14,Aaron Mooy,https://futhead.cursecdn.com/static/img/22/players/194958.png,CM,Shanghai Port,https://futhead.cursecdn.com/static/img/22/clubs/112540.png,Chinese Football Association Super League,https://futhead.cursecdn.com/static/img/22/leagues/2012.png,Australia,https://futhead.cursecdn.com/static/img/22/nations/195.png,Right,3,3,15/09/1990,175cm,Medium/Medium,Gold,77,63,72,78,75,69,76
15,Aaron Morley,https://futhead.cursecdn.com/static/img/22/players/235807.png,CDM,Bolton,https://futhead.cursecdn.com/static/img/22/clubs/4.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,2,3,27/02/2000,183cm,Medium/Medium,Silver,65,72,57,64,64,61,68
16,Aaron Morley,https://futhead.cursecdn.com/static/img/22/players/235807.png,CDM,Rochdale,https://futhead.cursecdn.com/static/img/22/clubs/1955.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,2,3,27/02/2000,183cm,Medium/Medium,Silver,65,72,57,64,64,61,68
17,Aaron Opoku,https://futhead.cursecdn.com/static/img/22/players/244234.png,LM,VfL Osnabrück,https://futhead.cursecdn.com/static/img/22/clubs/487.png,3. Liga,https://futhead.cursecdn.com/static/img/22/leagues/2076.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,3,4,28/03/1999,185cm,High/Medium,Silver,67,82,49,64,70,39,62
18,Aaron Pierre,https://futhead.cursecdn.com/static/img/22/players/203809.png,CB,Shrewsbury,https://futhead.cursecdn.com/static/img/22/clubs/127.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,Grenada,https://futhead.cursecdn.com/static/img/22/nations/77.png,Left,2,3,17/02/1993,185cm,Medium/Medium,Silver,66,69,37,46,50,65,81
20,Aaron Ramsey,https://futhead.cursecdn.com/static/img/22/players/186561.png,CM,Piemonte Calcio,https://futhead.cursecdn.com/static/img/22/clubs/114153.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png,Right,3,3,26/12/1990,183cm,Medium/Medium,Gold,80,66,70,81,83,66,66
21,Aaron Ramsey,https://futhead.cursecdn.com/static/img/22/players/186561.png,CM,Rangers,https://futhead.cursecdn.com/static/img/22/clubs/86.png,cinch Premiership,https://futhead.cursecdn.com/static/img/22/leagues/50.png,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png,Right,3,3,26/12/1990,183cm,Medium/Medium,Gold,80,66,70,81,83,66,66
22,Aaron Seydel,https://futhead.cursecdn.com/static/img/22/players/236831.png,ST,SV Darmstadt 98,https://futhead.cursecdn.com/static/img/22/clubs/110502.png,Bundesliga 2,https://futhead.cursecdn.com/static/img/22/leagues/20.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Left,3,4,7/2/1996,199cm,Medium/Low,Silver,65,67,61,53,65,29,61
23,Aaron Wan-Bissaka,https://futhead.cursecdn.com/static/img/22/players/229880.png,RB,Manchester Utd,https://futhead.cursecdn.com/static/img/22/clubs/11.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,4,2,26/11/1997,183cm,Medium/High,Gold,83,85,52,69,79,81,75
