id,team,img-team,league,img-league
1,1. FC Köln,https://futhead.cursecdn.com/static/img/22/clubs/31.png,Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/19.png
2,1. FC Magdeburg,https://futhead.cursecdn.com/static/img/22/clubs/110588.png,3. Liga,https://futhead.cursecdn.com/static/img/22/leagues/2076.png
3,1. FC Nürnberg,https://futhead.cursecdn.com/static/img/22/clubs/171.png,Bundesliga 2,https://futhead.cursecdn.com/static/img/22/leagues/20.png
4,1. FSV Mainz 05,https://futhead.cursecdn.com/static/img/22/clubs/169.png,Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/19.png
5,1860 München,https://futhead.cursecdn.com/static/img/22/clubs/33.png,3. Liga,https://futhead.cursecdn.com/static/img/22/leagues/2076.png
6,AC Ajaccio,https://futhead.cursecdn.com/static/img/22/clubs/614.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png
7,AC Monza,https://futhead.cursecdn.com/static/img/22/clubs/111811.png,Calcio B,https://futhead.cursecdn.com/static/img/22/leagues/2179.png
8,AD Alcorcón,https://futhead.cursecdn.com/static/img/22/clubs/100831.png,LaLiga SmartBank,https://futhead.cursecdn.com/static/img/22/leagues/54.png
9,AEK Athens,https://futhead.cursecdn.com/static/img/22/clubs/278.png,Hellas Liga,https://futhead.cursecdn.com/static/img/22/leagues/63.png
10,AFC Bournemouth,https://futhead.cursecdn.com/static/img/22/clubs/1943.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png
11,AFC Chindia,https://futhead.cursecdn.com/static/img/22/clubs/113387.png,Liga I,https://futhead.cursecdn.com/static/img/22/leagues/330.png
12,AFC Wimbledon,https://futhead.cursecdn.com/static/img/22/clubs/112259.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png
13,AIK,https://futhead.cursecdn.com/static/img/22/clubs/433.png,Allsvenskan,https://futhead.cursecdn.com/static/img/22/leagues/56.png
